rating,ebird_code,channels,date,filename,latitude,sampling_rate,type,elevation,file_type,longitude,time,common_name,sci_name,order,family,species_group,20Hz,21Hz,22Hz,24Hz,25Hz,27Hz,28Hz,30Hz,32Hz,34Hz,36Hz,38Hz,40Hz,43Hz,45Hz,48Hz,51Hz,54Hz,57Hz,60Hz,64Hz,68Hz,72Hz,76Hz,81Hz,85Hz,90Hz,96Hz,102Hz,108Hz,114Hz,121Hz,128Hz,136Hz,144Hz,153Hz,162Hz,171Hz,182Hz,192Hz,204Hz,216Hz,229Hz,243Hz,257Hz,273Hz,289Hz,306Hz,324Hz,344Hz,364Hz,386Hz,409Hz,434Hz,460Hz,487Hz,516Hz,547Hz,580Hz,614Hz,651Hz,690Hz,731Hz,775Hz,821Hz,870Hz,922Hz,977Hz,1036Hz,1098Hz,1163Hz,1233Hz,1307Hz,1385Hz,1467Hz,1555Hz,1648Hz,1747Hz,1851Hz,1962Hz,2079Hz,2203Hz,2335Hz,2474Hz,2622Hz,2779Hz,2945Hz,3121Hz,3308Hz,3505Hz,3715Hz,3937Hz,4172Hz,4421Hz,4686Hz,4966Hz,5263Hz,5577Hz,5910Hz,6264Hz,6638Hz,7035Hz,7455Hz,7901Hz,8373Hz,8873Hz,9404Hz,9966Hz,10561Hz,11193Hz,11861Hz,12570Hz,13322Hz,14118Hz,14962Hz,15856Hz,16803Hz,17808Hz,18872Hz,20000Hz
3.5,aldfly,1 (mono),2013-05-25,XC134874.mp3,44.793,48000 (Hz),call,220 m,mp3,-92.962,8:00,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1331.1620477869185,1335.7545376278135,1282.8109333906505,1454.126679644257,1480.3839967020606,1596.9558905288452,1823.8629142215734,1966.6920490045238,1497.0118647293377,1543.7766836418396,1770.5794733217356,1876.7331215776132,2068.3034703302437,2236.642707572393,2315.609255077959,2610.8041469041664,2869.8468817701787,3093.9384732740887,3945.9189733961243,4458.070485975387,4180.423579398823,4125.39314545457,5299.526145273919,5328.42780328102,6045.778510155189,6337.601067456055,5489.922557732058,6614.520523566505,8453.020961578617,7836.784027345023,8666.911221902063,8249.058716696334,8460.811215678852,9772.282963432763,10670.151018127968,11765.476724157732,10091.62715730203,11130.786570406153,9855.834500019595,12064.105000588068,15087.824902340073,20267.028444460815,26385.361917402923,30519.729003871158,33156.24305986615,38995.437460412686,53017.47039310142,115797.23066504818,83653.18719211951,91882.14850084671,77642.07160484958,89243.39106536472,79592.59028405415,81648.60974221259,80501.03668070133,76087.39684396575,102634.68154323801,69271.22835287305,65539.83222597848,64139.39556573568,59537.77766226573,56624.52345911715,56107.62693427374,54712.9145552284,64035.03488962586,82895.95140537691,99471.78340993403,119001.8708926295,141441.70181030518,137730.24304600753,147517.31049755955,152053.39481432812,169679.67657907883,181699.56148556297,216515.0332632453,244651.01987296212,253961.29769261464,253702.07041242073,266534.8578275863,304751.9382989191,374975.055581931,487161.18220057775,511590.47287522326,588738.1597521309,855333.5091320454,1181166.553738298,1495138.539779524,2274125.247716322,3309782.375131362,820627.1296951761,840165.686444825,923251.6487265059,971159.7554838312,801435.9587614165,831492.0505503247,849822.0091431963,964611.1604896138,1050891.74419122,1022132.2396098982,1500116.1124360054,1253419.7043468785,833493.942694423,915402.6345577451,462789.1508806036,248373.68298570387,114570.0283876365,94715.25591626801,59635.17721672087,39628.76026265746,36178.95614191753,34728.407038400765,36157.504637288075,35284.5931116498,32072.016587975115,30683.036441141256,24327.880291131823,320.15965631338514,318.00816149869365,,
4.0,aldfly,2 (stereo),2013-05-27,XC135454.mp3,36.1065,44100 (Hz),"call, song",1700 m,mp3,-82.1106,08:30,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2322169.088475463,2559368.8113190825,2570432.461330567,2095564.0155113456,2553485.40679207,2544432.1100913,2196972.430291762,1911038.3278395913,2156990.813096594,2148572.125319576,2063397.017169671,1823629.2438202247,1933000.481733371,2508162.823324548,2381305.0182058043,2990539.653006234,2612007.959467686,2829568.9505282547,3296949.913549178,3069206.3113431106,2940308.586419459,2868569.9067764035,2912152.1777927,2422207.0077205505,2331990.3496575835,2055560.6211110628,2467516.3222848503,2408977.3844472244,2226169.0175028425,2160897.102109106,2107829.983454901,2458793.638061736,1619251.1528881965,1908934.7392514073,1965440.4202571255,1554317.0143852588,1436316.1998108865,1513649.4973698747,1395565.331423984,1202167.5298213242,1085479.517312188,1044738.1689513742,943240.5581115548,824593.5063226185,760488.5815547546,681112.8167100131,673605.8247231271,694856.6950997976,716454.8971414501,1120686.0744972338,676120.8049742735,704560.6629210582,802893.0920628601,929131.8779837849,838973.0638922864,785153.4689289348,763519.808652423,813221.9237976826,916952.6991174364,978553.34911238,780890.4462284667,758793.686691847,834095.866546496,796099.9816273799,835714.4421555176,832851.8003791991,715604.6977136651,712334.2012808234,795050.7518856551,707373.8730256235,642038.3149869039,659113.4361960412,647389.570163561,655957.136237765,640118.3302192213,599686.9868296217,651071.2706986202,756961.8421586436,762766.0772716715,738701.2837618671,933706.6876968317,1164840.7516466724,1592254.6465985945,2375738.2820725637,3763066.92724466,3623262.8727219603,3223646.2629977115,3073230.058692656,2833603.804049666,2165698.038002433,2016940.4549927614,1634283.9236393496,1159836.2896719116,910747.0883362748,905025.4450316608,1165678.663228938,770520.6049966031,710744.672318877,233346.04691670678,169113.1897643869,144671.35636790254,226332.11838799456,217148.39578667804,142124.87970648383,143440.96897464085,114917.84170274204,111735.5298990598,111567.69661701683,111259.03079860494,105923.46890941274,104631.50406605758,104806.72336831214,104761.21822889484,105434.42869225022,101574.96011485413,2343.627737270851,365.98458726837725,364.2174776937124,,
4.0,aldfly,2 (stereo),2013-05-27,XC135455.mp3,36.1065,44100 (Hz),"call, song",1700 m,mp3,-82.1106,08:30,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2190034.5492988466,2114213.6192383,2113882.802719684,1768498.8716231848,1993061.093706084,2402462.1376635646,2150361.898009551,1849247.035239244,1509614.3207397063,1121001.2199411222,1135498.847110564,1129395.3185045938,1110867.0293404814,871892.1816250859,1063457.4589660745,1215853.276357504,1298674.240744221,1498664.4851690507,1650723.2972503225,2039527.9614952765,2008927.419447807,1917368.1124542132,2100581.1232311996,1916530.7403791603,1549231.0929037621,1313485.4267220972,1252049.3441329594,1143132.9843437069,1248648.0074509224,1296339.4658459432,1173237.5816479851,1135069.339100128,1199109.489735445,1145483.1995665233,1079490.2108000976,1042800.323050216,997228.6662913243,1006546.1254197897,857018.5476357643,809479.7262065907,676750.6494428038,672200.127512289,721214.4560999394,731503.2177275592,680248.5430534686,627176.0171508632,609107.1164847256,630533.3038662231,710069.8247278921,1030618.9653048975,621590.0303336855,647969.2923580569,638048.7268482508,703199.1160862799,793816.6244283237,752407.1371513389,670382.406088891,637997.4450405841,685806.2921248326,621868.1340641544,653531.7593470489,661934.202535903,644219.6702383972,621398.9522456466,592975.2786960775,576504.1674318451,619618.8396555701,663370.1776616048,756939.9057306198,619872.1880222303,626487.2280473383,601477.3376383724,564922.5267885274,605436.1442824801,717924.7806876914,695090.0166084113,616008.8012256062,891835.0352046762,765625.2660033768,839355.6458382085,922213.9455374324,1411563.8072670302,2342183.3896917133,2823613.1182345366,5034064.376149953,6543444.721782273,5818244.804270174,6366045.702850025,6212323.895880143,6578506.028285522,6049769.548625885,4267944.932721392,3410905.3033080907,2897554.6176588438,2564952.5606231773,1049489.0175555835,749954.9140663957,559401.6149628673,354820.9411937013,312641.60975748225,312708.6748455281,706746.0868434677,1401808.983111419,476887.8273560616,423013.4044388026,665259.6518332779,241481.64302944657,177157.4582001336,164178.84242892117,145988.9635922543,144462.9121593538,129335.15263778197,123294.59159228235,119739.45623735663,113347.21678245277,2898.7317833186726,378.2748580632808,380.45655616196257,,
3.5,aldfly,2 (stereo),2013-05-27,XC135456.mp3,36.1065,44100 (Hz),"call, song",1700 m,mp3,-82.1106,08:30,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2319647.679440603,2713246.245448604,2101253.303227314,2333429.512632256,2092082.4755021,2363733.1929428703,2678625.9992517587,2369758.980902376,2176628.8093186966,2320974.239722536,2288268.043181131,2411814.6515365653,1894356.2635739439,2056166.1598780581,1952894.9355530452,2370506.832370684,1935173.3861274815,2087294.2666558113,2515956.592105422,2443180.211544454,2523292.23421225,2451231.3444910464,2617454.939398692,2612745.7564082495,2532588.1914298194,2167174.694516923,2069563.0561840578,2008305.6937698592,1949334.7661657992,1699856.3703517865,1720935.45848871,1952850.2201138,1516736.8016564795,1391621.8280067719,1605048.1967997726,1415996.1972147208,1412775.990692777,1213036.0069200126,1336927.0471272687,1175766.8155225464,1071630.595530048,970608.82273521,949916.1952002245,844783.425268216,906671.153777208,800616.9820696973,668246.9928805135,679916.0318651808,739889.0120199099,1071884.181592516,637169.3355855467,613910.6046976061,640483.3832794442,665397.9272740467,720410.7728300362,795367.1241436139,684083.4146557321,642790.1264218694,709012.2967499958,651408.9229928324,671205.7413610088,627379.405548153,567447.8567181561,598353.4083429041,661412.0143463538,656207.3792941739,587922.2542417191,584574.7684910805,671097.1612038165,492725.24671951187,477562.512583757,468230.5987459299,449782.0215249067,414919.4266234451,391716.7556663246,372784.2299108988,380298.02610505477,483700.7846940434,477144.46621248714,565179.5768120522,880661.3807153838,1047686.1960654223,2042411.264515875,3855954.4748607855,5582715.792679001,5257539.024637803,4652328.950524234,4751283.516801818,5437307.619415341,5211778.572465038,3908128.3361314945,3048233.588368895,2261525.610516734,2049176.6595104123,1964741.7681823038,671354.0256100176,443983.85351062496,239103.07543645697,177604.6333852236,157419.54761408668,191027.58623489997,666358.7294795759,152518.6672960448,133248.73705581535,127950.4296764779,123525.46343505337,121757.53593324174,116299.79366647267,114403.0734226447,111774.25699569176,112733.72206476523,110876.54279158656,110017.63297118247,110849.82030608518,106013.2784560548,2536.439397241074,352.0885231632732,351.5412452588998,,
4.0,aldfly,2 (stereo),2013-05-27,XC135457.mp3,36.1065,44100 (Hz),"call, song",1700 m,mp3,-82.1106,08:30,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1964456.9636969545,2118327.8039860306,2110164.255983124,2687338.6161227254,2361808.9977487284,2159875.7730045174,2561545.4651983227,2307105.3584416904,1743124.4021096355,1421923.8351360902,1357801.9543525898,3759233.3616590863,4230550.112998892,1666489.5695738404,1556175.5077352067,1978084.1227531557,2142129.690302488,2233180.1062645116,2577207.2341180327,2388252.568038001,2281891.9986585355,2466616.6962439413,2420146.679540187,4511852.88750267,4598014.616111609,1624282.8467122982,1858536.4289666556,2153449.941858089,2262327.4783592606,1620265.0925421182,7838388.283751056,8179507.077363734,1835116.0833508868,1210612.38324202,1354826.4935522012,1290598.042747869,1196334.979305017,1131945.4466251133,1330895.9200469556,1609168.5497381678,1084972.3799257462,985308.6708702643,1277782.907900154,1312369.4225089552,1355867.7855147407,1381366.8751676958,1582994.1711037536,1999269.2464634147,2186761.085809343,2000290.7804170132,1787342.0490719157,1917045.4519832183,1991154.277566183,1741929.0632397772,1779352.046523127,1724937.7446433525,1710954.947193801,1739523.3378697925,1860098.5832529943,1939707.0987201214,1905841.1642214064,1956169.331022096,2051394.7903416061,2905638.206995965,4140304.843135037,2174069.908799379,1714176.3658040198,1545884.314074542,1471107.85197983,1575061.2951614065,1414778.2584794126,1444330.8785965398,1467449.715874612,1394845.9218931664,1242644.2262734235,1189044.2735941703,1059409.9041120915,1022253.6311083669,986308.9635096515,915051.9136272562,876716.2390073146,856891.8458539813,1128525.495225122,1926461.61525395,2457112.459753638,2469540.5653714193,2180494.7463478427,2644532.2042766633,2793423.8193026995,2290437.0090851937,951559.277775658,648688.9779120501,464187.3136760263,469048.20249427157,442698.63875009434,427970.03921170684,311799.4896078348,260424.41912740975,224702.2636139582,211914.98372122124,199702.4078630117,205023.11180583303,191840.89654228854,187598.77253634355,181684.29616640744,175452.73950373917,174951.27378116362,172040.00026312054,169575.93593804134,168547.42009055335,165995.8235973847,166226.28149931773,165511.45148772348,168036.74994681025,161054.47864123856,3858.638916467552,363.1587248212045,365.2371957638822,,
4.0,aldfly,2 (stereo),2013-05-27,XC135459.mp3,36.1065,44100 (Hz),"call, song",1700 m,mp3,-82.1106,08:30,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",788960.3446105015,616002.500533141,1146295.758377238,935372.7664356014,814791.8694940299,1049836.2754283552,1014890.04637751,1090404.37311625,1115325.0889334704,961616.1557696118,806254.8819789329,1098335.7630079535,1125119.2431279903,1082561.1549360119,1064201.988301186,1073825.750735815,892327.1272281867,1260817.2551903527,1682868.867046398,1441683.1035801624,1389743.7872755681,1703636.3335112713,1624445.246126839,1356665.2995122033,1175684.141603628,1181643.6657432558,1123667.9202238522,1313708.8253162724,1137889.9963582384,1188262.2605772335,1116599.2805556138,1102175.205016079,922157.5526180454,988927.4635457529,888170.1552646902,966169.6190527295,714999.2892306093,926064.3090598596,700144.3388431866,803419.1296219713,669364.3053534896,506755.80903204245,540170.0268961246,504702.88579692174,397295.1105077183,373213.7581908426,372182.4087363255,362674.91127117904,290562.00740574626,325648.4806713081,312531.6848254362,308762.05408044724,285724.6191514624,258001.62088644083,240471.31322756477,209761.91223608033,223482.0526213161,216119.60801623174,244839.57640805218,208587.43825814812,250592.65091944012,241209.8866596855,310499.1619554982,307555.7568875913,263232.6449323922,245644.28730201183,250060.58067696172,272021.2322925349,240766.8048392475,249767.38240237377,271911.60571413644,226140.24096414135,269307.9880694569,211456.5560225862,214421.90058088055,191150.88493383114,173949.40853418375,163277.64240726436,138141.77333316847,128237.70428067459,137450.2432406229,220865.65769905088,538287.549881741,385383.00688208564,382861.9637847153,585707.0484111453,662159.8428663356,812962.9490489857,111918.29387454905,84315.87689754198,77165.93390272133,83037.1616432769,86501.04447107083,89140.43284082171,80815.95524352134,95331.51114925997,82069.7990282144,64873.94474349566,58872.8540381836,43564.163903887726,37818.68009651807,35826.205171775815,34264.29392706913,35204.332469075634,35868.75071689582,34354.75729256473,33720.28657763442,31976.666521199244,31717.499533131973,31313.026418120084,31181.918814701305,31181.120710222178,30925.919435003347,31004.073707027033,29840.992079297503,709.4217366426741,168.035395240168,169.95482950936054,,
4.0,aldfly,2 (stereo),2013-05-27,XC135460.mp3,36.1065,44100 (Hz),"call, song",1700 m,mp3,-82.1106,10:00,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",3824146.250770677,3462678.0152546517,3517935.849710018,3656710.985898586,3535803.387244048,4666142.906895699,3677843.1786224423,3744052.466645832,4605668.705614151,4114974.985252271,3539773.6131984973,3651029.1640580497,4222864.733969387,4027417.315801237,4333506.203868581,4773553.998860205,4580569.7589726625,5205039.84950279,5566696.474523882,5307228.028089519,5504737.924086555,5213938.281268709,5104841.164169843,4979089.64614023,5174295.510521335,5462987.643185146,5193486.517418154,5012965.658724551,4649927.697811875,4900241.031745675,4824480.6915378375,4671785.331355417,4264662.36420147,4081646.0447783866,3962273.9874862405,3723315.6429574927,3056576.023307517,3220470.542615149,2799390.4208503547,2637174.8967971522,2517887.2369194278,2034993.3075080004,2015183.4793370364,1842945.710956765,1647573.0034640923,1521655.135138232,1494488.7274331436,1485630.8851022217,1373171.9156748212,1449257.4947041278,1161042.3539371623,1180148.5124734633,1165013.8202704124,1055177.7650930998,1099198.345762645,998312.3533329387,950883.6975744404,952174.6095787598,965704.5459758278,1011824.9145199525,981094.7961913843,953974.1895592841,941276.5501457315,985098.2720800404,947751.2521907376,896116.4166343416,845299.4032997179,827315.4230484691,876443.4643597538,786033.2178261672,796707.3334722914,763873.6465480226,718456.4736253067,696506.6370222471,650178.3023597627,632126.8618692248,611530.1723844805,630517.4730179452,640215.9447529006,781650.3524539559,1136751.524806393,1627227.2651925934,2212640.94497016,2952608.9221927165,4079582.245675172,5512340.189419179,6523189.775442474,8310883.340110213,9253272.099503668,6996582.473318981,4810257.332460709,3615697.7152200826,2638583.1921098796,2192608.07516291,1983872.080359928,1335234.2691663038,1122440.9612585397,850737.7572360832,615282.8794351879,499070.7665024218,238475.16147816295,182318.8492557471,173280.46078181706,166481.5492213343,159061.61704030502,158589.50364530642,155601.82292783028,146198.92446386738,142941.69782483613,137785.8438975164,136505.3867422584,135770.10870987698,134815.20153318744,134175.4953609189,129446.4274829859,3428.1585829088617,409.34508642774335,406.7712578874966,,
3.5,aldfly,2 (stereo),2013-05-30,XC135883.mp3,36.65,44100 (Hz),song,1400 m,mp3,-81.4814,10:30,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",150494.44634080242,172690.58580357704,218165.06410000083,218682.29505019248,282154.235029554,329383.9144169471,299645.77847235004,341822.0071437333,409104.3546645328,402875.1387546521,450453.32313847466,606908.6510778425,731190.7330065513,878756.367149781,1057543.4705608026,1243777.4906208126,1450557.588061302,1809761.322550532,1999067.5755895623,2344579.3297490007,2978086.4955926193,3557664.1863722503,3931154.7245875625,4248336.178893234,5062181.559386467,5560494.403658353,6461044.8612772245,8626251.045801528,10218186.614979865,11289953.100031048,11605555.774350774,12603165.142304076,15197731.321987705,15274525.33106765,16818077.192726582,16498146.237625524,16933773.115231756,15414964.814651296,15151811.012363037,14642375.811100574,12562247.434848536,10789330.366270674,11900001.417476919,12868590.849952415,12517218.26988255,7701408.218266845,6076930.048440131,5721825.023594552,5461422.433732037,8004483.439127644,10784107.206107043,10673882.873508563,9565441.368765498,7872621.407486228,9005201.854659643,10369693.620312592,11564091.123874487,5434647.561819072,5221169.8657777235,6888699.58482168,5066295.40507787,2757755.268179158,1841919.1461057798,1713002.996141273,1635505.9761620567,1591701.150222964,1804319.7375734977,1952396.9147576808,1827246.800307053,1294172.2668455646,992439.8844712436,720520.762405234,612508.5791779005,531287.7078167584,754326.0356588778,1139745.1310612857,1266525.2879826222,1290729.0968442922,976186.8110286169,821798.9757072077,933532.3597056116,1065110.0344012966,1252320.8089773448,958123.6722871723,1093417.8227021047,1515409.0510153433,1680899.099011527,975289.9900149158,857325.9300461169,928716.9199477282,920104.7795324934,1171049.2762424105,777230.8799151914,1227587.7881499098,2090352.2770338375,2625068.341772632,2453911.6470857505,1493941.6794262545,737085.2301863882,587364.1616892728,1063785.0385310135,874379.7422755113,606237.7761064626,906300.4937048022,1014141.7872437385,374245.1257733887,553537.5586283645,603397.2009608297,430673.95516630926,223314.4155589647,265661.13363860326,202168.81523613387,172689.97252817158,128749.3994459416,117287.0831347182,40993.12008010262,1222.535484637905,1218.9980013080674,,
4.0,aldfly,2 (stereo),2013-06-02,XC137570.mp3,47.8534,44100 (Hz),"alarm call, song",220 m,mp3,-70.42,07:03,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",3667.873004490459,3349.5621499698027,3179.8111464494477,3159.5657099648247,3323.0059447957706,3454.8011635679804,3641.3759879168583,3548.645165021502,3414.1818885842968,3050.5045798735246,2549.33883750742,2189.205354009222,1996.589897835011,2132.5106157418736,2315.6219132210017,2433.3428000733593,2308.8510995032516,2008.1910294290196,1822.9262076011216,2015.0557460573825,2307.628391428854,2278.122722092824,1956.0413594139445,1917.9172546400757,2314.3364389148114,2301.4531839746423,1873.0551926116416,2117.8195305762547,2137.2594520341604,1715.43003261721,1886.3643947406747,1846.5596151643758,1540.3752416158304,1707.8298156800188,1368.1767661575616,1563.924568550572,1402.138716325231,1640.7598081901792,2871.150410571092,4901.873625006716,7732.4129807343015,8289.743142030717,8035.0670751538955,9536.102970796042,10791.65924888252,12344.46739830066,13052.924541257502,14687.70287062864,13165.92932980287,11203.706155511021,12674.747394625098,12199.016135187294,11048.942961098259,8663.081680604399,8024.504366284364,7589.8323946322735,8524.891175800283,10899.437670369645,11492.7201287426,14841.243313960063,9444.81956790093,15623.259476660902,20362.932391025537,24812.392539780012,30302.55361973947,28429.384753910614,34444.24916504112,33038.557717427415,34820.03057804746,37652.08347769204,37241.1547426098,39833.07318952373,53282.20515865634,65829.34832886823,76117.00263206566,78877.77813907324,72566.07008739488,70604.56677660964,80172.196416802,145824.1556668204,86598.83304619558,111213.26467131465,271535.85414287454,468701.1160542559,695369.499999069,795889.4366337492,1579945.8991005402,1499168.5185585266,1069090.7433589431,1515536.3373437698,1890157.13706333,1169516.8398161496,657388.3339024284,443840.63540620165,109659.0222391501,71258.57978927417,71861.41274417972,61096.02524278431,55518.07470937641,47012.79521981318,34133.79342536353,38129.19444771232,45666.20421881867,32535.779069181102,26037.909693960937,26305.872109904827,22675.84339883968,20623.813957471917,18448.69111018237,15499.430600484673,14097.859505972883,12298.487336983037,11188.334002058591,11222.912008222602,6579.047538550764,311.0842278606071,310.34996566128905,311.551306167437,,
3.5,aldfly,1 (mono),2013-06-16,XC138639.mp3,47.1406,48000 (Hz),call,220 m,mp3,-91.4698,06:24,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",8081.238096527835,7204.696905163995,7132.521564750139,7037.02192988339,8284.452278606746,8151.2281818644105,7259.382565305677,7318.621924340023,7730.993962627397,8186.804768669975,7801.468225874576,8816.187249857356,8923.514121851184,9085.867126760444,10331.59105852214,11831.803883300407,12057.95105985562,15430.68498342411,13373.351541493324,15149.653725567134,19360.513043658335,16705.42671768225,22011.239735883653,19397.957059017346,26658.56216862489,29933.32618030058,29941.167627562765,26637.03787499319,30757.578633674202,31670.432998308064,28928.33904832408,37158.303322029424,33536.10827210455,36634.83331427411,41085.58580224872,45666.77710136251,53798.08779604333,58551.358636827,77137.21654981529,87433.68652096031,112795.88733359543,151370.80929717136,199220.19751413635,251826.4994859476,321098.09659848106,388763.74495962553,415429.3535843291,470022.67228326446,571761.6305753522,516716.95521994,585758.6234497724,646472.5890846342,691906.6006797932,697766.9144601958,786203.4662773235,884361.4072366544,1024943.9486188776,1317284.5503996266,1610268.4772282755,1809118.8630379627,2124575.3793122936,2595958.3274600697,2789786.7489031423,3277465.388661011,3787523.2115990347,3797496.2389708124,3712481.3423816436,4173202.7319511264,4724869.877090109,4217974.014170609,3517619.717024539,3585188.965582368,3699168.908433399,3697319.106015863,3677041.440896407,3533475.2316015116,3259677.635594357,2896189.1756021953,2581919.227220144,2752953.174867818,3988106.5920904586,4234268.96089259,5939986.679330768,6548863.336735693,9290994.043161709,8224377.4447657345,9326148.135381456,9731309.2710031,7367657.598749931,6477532.29427141,5949624.772897713,5200644.6993157845,5398497.613452947,6234158.449862113,4492034.157875985,1203567.3883223282,2568506.5786460782,3993287.679109389,2513736.906088904,660914.747062947,1286002.7165401194,663557.3332323093,413593.1375373452,371335.2854985095,372486.88682445086,360363.30046720104,314933.0283205681,301445.830250971,285655.71392570523,279440.2189753416,272371.265630908,271618.0178611726,266356.06807708467,248941.21581276497,242173.79329351566,195524.20014472224,504.5117422117023,465.9602677533597,,
